"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2013";2076;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2014";2024;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2015";1721;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2016";2093;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2017";1954;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2018";2400;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2019";2796;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2020";3091;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2021";3804;"zł";"";
2607000;"Powiat ostrowiecki";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2010";2118;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2011";0;"zł";"x";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2012";0;"zł";"x";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2013";2268;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2014";2186;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2015";2237;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2016";2250;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2017";1561;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2018";2227;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2019";2393;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2020";2861;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2021";3018;"zł";"";
2608000;"Powiat pińczowski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2010";2404;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2011";2141;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2012";2408;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2013";2042;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2014";2281;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2015";1618;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2016";2089;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2017";2189;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2018";2386;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2019";2170;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2020";2799;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2021";2867;"zł";"";
2608000;"Powiat pińczowski";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2010";2162;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2011";1761;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2012";1502;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2013";2158;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2014";2564;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2015";2147;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2016";1858;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2017";2038;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2018";2004;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2019";2658;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2020";2965;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2021";3130;"zł";"";
2608000;"Powiat pińczowski";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2010";2159;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2011";1757;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2012";2368;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2013";1914;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2014";1892;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2015";2018;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2016";2264;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2017";2099;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2018";2849;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2019";2013;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2020";3424;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2021";3628;"zł";"";
2608000;"Powiat pińczowski";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2010";2825;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2011";2763;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2012";3253;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2013";2209;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2014";2751;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2015";2804;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2016";2937;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2017";2450;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2018";2885;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2019";0;"zł";"x";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2020";2500;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2021";4244;"zł";"";
2609000;"Powiat sandomierski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2010";2370;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2011";2904;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2012";3013;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2013";2910;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2014";2686;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2015";2412;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2016";1988;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2017";2687;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2018";2900;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2019";3243;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2020";3409;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2021";4412;"zł";"";
2609000;"Powiat sandomierski";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2010";2921;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2011";3351;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2012";2934;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2013";3184;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2014";3000;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2015";2537;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2016";2759;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2017";2924;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2018";3109;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2019";0;"zł";"x";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2020";4118;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2021";4084;"zł";"";
2609000;"Powiat sandomierski";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2010";2925;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2011";3068;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2012";2778;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2013";2413;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2014";2550;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2015";2679;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2016";2671;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2017";2807;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2018";2791;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2019";3626;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2020";4371;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2021";4457;"zł";"";
2609000;"Powiat sandomierski";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2010";2200;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2011";2384;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2012";2452;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2013";2420;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2014";2053;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2015";2243;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2016";2602;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2017";1950;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2018";2030;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2019";2532;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2020";3571;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2021";3552;"zł";"";
2610000;"Powiat skarżyski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2610000;"Powiat skarżyski";"2 kwartał";"ogółem";"ogółem";"2010";2267;"zł";"";
2610000;"Powiat skarżyski";"2 kwartał";"ogółem";"ogółem";"2011";2292;"zł";"";
