"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2019";3266;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2020";3522;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2010";2713;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2011";2930;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2012";3365;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2013";3015;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2014";3090;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2015";3206;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2016";3383;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2017";3147;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2018";3660;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2019";4002;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2020";4249;"zł";"";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0608000;"Powiat lubartowski";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2010";3232;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2011";3395;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2012";3223;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2013";3146;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2014";2851;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2015";2983;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2016";2981;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2017";2730;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2018";3459;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2019";3741;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2020";4375;"zł";"";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0608000;"Powiat lubartowski";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0608000;"Powiat lubartowski";"4 kwartał";"ogółem";"ogółem";"2010";2821;"zł";"";
0608000;"Powiat lubartowski";"4 kwartał";"ogółem";"ogółem";"2011";3316;"zł";"";
